c,x,y,w,h,d,t
4,0,0,0,0,2020-02-24,04:25:54.195950
4,0,0,0,0,2020-02-24,04:25:59.253975
4,0,0,0,0,2020-02-24,04:26:04.317879
4,60,86,22,22,2020-02-24,04:26:09.398747
4,64,90,20,20,2020-02-24,04:26:14.483952
4,98,56,26,26,2020-02-24,04:26:14.483952
4,59,88,22,22,2020-02-24,04:26:19.570108
4,0,0,0,0,2020-02-24,04:26:24.647744
4,0,0,0,0,2020-02-24,04:26:29.716892
4,0,0,0,0,2020-02-24,04:26:34.781530
4,101,53,22,22,2020-02-24,04:26:39.855418
4,38,52,24,24,2020-02-24,04:26:39.855418
4,0,0,0,0,2020-02-24,04:37:16.961187
4,0,0,0,0,2020-02-24,04:37:22.030365
4,0,0,0,0,2020-02-24,04:37:27.093707
4,0,0,0,0,2020-02-24,04:37:32.157573
4,0,0,0,0,2020-02-24,04:37:37.236522
4,0,0,0,0,2020-02-24,04:37:42.304139
4,56,78,22,22,2020-02-24,04:37:47.377984
4,0,0,0,0,2020-02-24,04:37:52.456529
4,41,50,45,45,2020-02-24,04:37:57.535024
4,105,55,36,36,2020-02-24,04:38:02.610201
4,37,52,34,34,2020-02-24,04:38:02.610201
4,61,88,27,27,2020-02-24,04:38:07.673446
4,108,66,20,20,2020-02-27,16:14:52.316341
4,92,100,25,25,2020-02-27,16:14:52.416628
4,90,100,24,24,2020-02-27,16:14:52.492424
4,92,99,23,23,2020-02-27,16:14:52.581186
4,31,50,54,54,2020-02-27,16:14:52.581186
4,91,100,21,21,2020-02-27,16:14:52.665960
4,90,99,22,22,2020-02-27,16:14:52.753725
4,10,60,21,21,2020-02-27,16:14:52.842488
4,88,100,22,22,2020-02-27,16:14:52.928260
4,0,0,0,0,2020-02-27,16:14:53.025997
4,0,0,0,0,2020-02-27,16:14:53.118749
4,65,97,27,27,2020-02-27,16:14:53.190556
4,89,99,25,25,2020-02-27,16:14:53.190556
4,89,99,23,23,2020-02-27,16:14:53.782235
4,0,0,0,0,2020-02-27,16:14:53.871995
4,0,0,0,0,2020-02-27,16:14:53.953777
4,0,0,0,0,2020-02-27,16:14:54.035557
4,88,97,25,25,2020-02-27,16:14:54.116341
4,85,136,22,22,2020-02-27,16:14:54.201114
4,92,100,23,23,2020-02-27,16:14:54.284891
4,89,99,23,23,2020-02-27,16:14:54.357695
4,87,96,25,25,2020-02-27,16:14:54.441471
4,86,99,22,22,2020-02-27,16:14:54.529247
4,90,100,24,24,2020-02-27,16:14:54.611017
4,64,97,26,26,2020-02-27,16:14:54.688809
4,0,0,0,0,2020-02-27,16:14:54.894973
4,86,101,21,21,2020-02-27,16:14:54.976753
4,0,0,0,0,2020-02-27,16:14:55.058534
4,0,0,0,0,2020-02-27,16:14:55.144305
4,0,0,0,0,2020-02-27,16:14:55.224092
4,0,0,0,0,2020-02-27,16:14:55.302881
4,0,0,0,0,2020-02-27,16:14:55.379733
4,0,0,0,0,2020-02-27,16:14:55.464507
4,84,46,59,59,2020-02-27,16:14:55.547285
4,103,59,22,22,2020-02-27,16:14:55.632060
4,88,48,56,56,2020-02-27,16:14:55.632060
4,98,57,22,22,2020-02-27,16:14:55.716832
4,0,0,0,0,2020-02-27,16:14:55.862790
4,0,0,0,0,2020-02-27,16:14:55.934598
4,0,0,0,0,2020-02-27,16:14:56.014392
4,0,0,0,0,2020-02-27,16:14:56.096166
4,0,0,0,0,2020-02-27,16:14:56.175952
4,0,0,0,0,2020-02-27,16:14:56.254741
4,0,0,0,0,2020-02-27,16:14:56.337519
4,103,59,24,24,2020-02-27,16:14:56.415311
4,100,58,22,22,2020-02-27,16:14:56.503078
4,101,59,23,23,2020-02-27,16:14:56.591839
4,101,60,24,24,2020-02-27,16:14:56.660655
4,0,0,0,0,2020-02-27,16:14:56.740442
4,0,0,0,0,2020-02-27,16:14:56.864117
4,105,59,22,22,2020-02-27,16:14:56.940961
4,0,0,0,0,2020-02-27,16:14:57.015761
4,0,0,0,0,2020-02-27,16:14:57.088566
4,56,23,102,102,2020-02-27,16:14:57.169351
4,0,0,0,0,2020-02-27,16:14:57.246761
4,0,0,0,0,2020-02-27,16:14:57.330553
4,101,58,23,23,2020-02-27,16:14:57.406349
4,0,0,0,0,2020-02-27,16:14:57.485138
4,0,0,0,0,2020-02-27,16:14:57.570910
4,101,59,22,22,2020-02-27,16:14:57.642718
4,0,0,0,0,2020-02-27,16:14:57.725496
4,0,0,0,0,2020-02-27,16:14:57.865379
4,0,0,0,0,2020-02-27,16:14:57.944168
4,0,0,0,0,2020-02-27,16:14:58.026947
4,0,0,0,0,2020-02-27,16:14:58.098755
4,97,54,24,24,2020-02-27,16:14:58.196494
4,0,0,0,0,2020-02-27,16:14:58.287250
4,0,0,0,0,2020-02-27,16:14:58.387493
4,0,0,0,0,2020-02-27,16:14:58.482239
4,0,0,0,0,2020-02-27,16:14:58.583968
4,0,0,0,0,2020-02-27,16:14:58.667743
4,0,0,0,0,2020-02-27,16:14:58.740548
4,0,0,0,0,2020-02-27,16:14:58.825322
4,84,48,55,55,2020-02-27,16:14:59.925721
4,0,0,0,0,2020-02-27,16:15:00.007502
4,0,0,0,0,2020-02-27,16:15:00.087287
4,0,0,0,0,2020-02-27,16:15:00.167074
4,0,0,0,0,2020-02-27,16:15:00.250851
4,0,0,0,0,2020-02-27,16:15:00.324652
4,86,94,22,22,2020-02-27,16:15:00.409426
4,89,97,24,24,2020-02-27,16:15:00.494199
4,110,59,23,23,2020-02-27,16:15:00.495197
4,51,59,24,24,2020-02-27,16:15:00.578972
4,91,100,21,21,2020-02-27,16:15:00.578972
4,105,61,24,24,2020-02-27,16:15:00.659267
4,88,97,24,24,2020-02-27,16:15:00.659267
4,0,0,0,0,2020-02-27,16:15:01.713101
4,0,0,0,0,2020-02-27,16:15:01.790938
4,90,97,22,22,2020-02-27,16:15:01.877705
4,0,0,0,0,2020-02-27,16:15:01.961481
4,0,0,0,0,2020-02-27,16:15:02.048249
4,88,96,23,23,2020-02-27,16:15:02.137011
4,0,0,0,0,2020-02-27,16:15:02.220787
4,92,98,24,24,2020-02-27,16:15:02.296647
4,0,0,0,0,2020-02-27,16:15:02.384381
4,0,0,0,0,2020-02-27,16:15:02.466668
4,0,0,0,0,2020-02-27,16:15:02.550951
4,102,59,22,22,2020-02-27,16:15:02.632734
4,87,95,24,24,2020-02-27,16:15:02.632734
4,0,0,0,0,2020-02-27,16:15:03.186191
4,0,0,0,0,2020-02-27,16:15:03.268969
4,0,0,0,0,2020-02-27,16:15:03.344767
4,88,99,20,20,2020-02-27,16:15:03.426548
4,0,0,0,0,2020-02-27,16:15:03.506334
4,0,0,0,0,2020-02-27,16:15:03.598089
4,0,0,0,0,2020-02-27,16:15:03.691838
4,0,0,0,0,2020-02-27,16:15:03.786586
4,0,0,0,0,2020-02-27,16:15:03.870868
4,0,0,0,0,2020-02-27,16:15:03.961133
4,0,0,0,0,2020-02-27,16:15:04.067847
4,0,0,0,0,2020-02-27,16:15:04.166583
4,0,0,0,0,2020-02-27,16:15:04.974359
4,89,97,27,27,2020-02-27,16:15:05.058612
4,0,0,0,0,2020-02-27,16:15:05.139504
4,0,0,0,0,2020-02-27,16:15:05.223280
4,0,0,0,0,2020-02-27,16:15:05.316033
4,0,0,0,0,2020-02-27,16:15:05.406789
4,0,0,0,0,2020-02-27,16:15:05.498544
4,92,102,22,22,2020-02-27,16:15:05.579328
4,0,0,0,0,2020-02-27,16:15:05.666098
4,0,0,0,0,2020-02-27,16:15:05.749871
4,0,0,0,0,2020-02-27,16:15:05.832650
4,0,0,0,0,2020-02-27,16:15:05.930897
4,0,0,0,0,2020-02-27,16:15:06.749029
4,84,138,24,24,2020-02-27,16:15:06.833802
4,94,103,22,22,2020-02-27,16:15:06.833802
4,0,0,0,0,2020-02-27,16:15:06.914589
4,0,0,0,0,2020-02-27,16:15:07.000357
4,0,0,0,0,2020-02-27,16:15:07.092110
